Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL26811,HuProt™ v3.0,spotted peptide or protein,Homo sapiens,21154,20,1,GEO admin,21-Jun-19
GPL26812,Illumina HiSeq 2500 (Cryptococcus neoformans var. neoformans),high-throughput sequencing,Cryptococcus neoformans var. neoformans,0,64,2,GEO,21-Jun-19
GPL26822,Illumina HiSeq 2500 (Saccharomyces cerevisiae x Saccharomyces eubayanus),high-throughput sequencing,Saccharomyces cerevisiae x Saccharomyces eubayanus,0,6,1,GEO,21-Jun-19
GPL26824,Illumina HiSeq 2500 (Pinus elliottii),high-throughput sequencing,Pinus elliottii,0,16,1,GEO,21-Jun-19
GPL26828,Illumina HiSeq 2500 (Halicephalobus mephisto),high-throughput sequencing,Halicephalobus mephisto,0,12,1,GEO,21-Jun-19
GPL26192,Agilent-078298 human ceRNA array V1.0 4X180K [Feature number version],in situ oligonucleotide,Homo sapiens,180880,36,3,ZHUOAN CHENG,20-Jun-19
GPL25305,NimbleGen 12 x 135K array for Medicago truncatula A17 [111121_Mtrunc_MG_expr],in situ oligonucleotide,Medicago truncatula,45223,41,1,Miriam Gifford,20-Jun-19
GPL26225,Agilent-071303 Candida albicans array,in situ oligonucleotide,Candida albicans,15653,4,1,Hsueh-Fen Chen,20-Jun-19
GPL26810,Illumina NovaSeq 6000 (Acropora tenuis; Cladocopium goreaui),high-throughput sequencing,Acropora tenuis;Cladocopium goreaui,0,23,1,GEO,20-Jun-19
GPL26804,Nimblegene Homo sapiens Expression Array [2006-08-03_HG18_60mer_expr],in situ oligonucleotide,Homo sapiens,47633,18,2,David M Gilbert,19-Jun-19
GPL26802,Illumina HiSeq 3000 (Prunus mume),high-throughput sequencing,Prunus mume,0,12,1,GEO,19-Jun-19
GPL26805,Illumina HiSeq 2000 (Cyclocarya paliurus),high-throughput sequencing,Cyclocarya paliurus,0,9,1,GEO,19-Jun-19
GPL26806,HiSeq X Ten (Serratia marcescens),high-throughput sequencing,Serratia marcescens,0,6,3,GEO,19-Jun-19
GPL25249,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [Gene2.0st.lncrna.ENSG.v21.cdf],in situ oligonucleotide,Homo sapiens,35458,73,2,Luca Agnelli,18-Jun-19
GPL26788,NanoString nCounter® Mouse Inflammation v2 Panel,other,Mus musculus,547,15,1,Michael Whalen,18-Jun-19
GPL26791,GeoChip 5.0,in situ oligonucleotide,Archaea;Bacteria;Eukaryota,81515,79,1,Qun Gao,18-Jun-19
GPL26795,Illumina HiSeq 2000 (Anser cygnoides),high-throughput sequencing,Anser cygnoides,0,9,1,GEO,18-Jun-19
GPL26796,Illumina HiSeq 2000 (Elizabethkingia anophelis),high-throughput sequencing,Elizabethkingia anophelis,0,6,1,GEO,18-Jun-19
GPL26789,Illumina HiSeq 2500 (Capsicum annuum),high-throughput sequencing,Capsicum annuum,0,215,4,GEO,17-Jun-19
GPL26790,Illumina NextSeq 500 (Auriculariopsis ampla),high-throughput sequencing,Auriculariopsis ampla,0,15,1,GEO,17-Jun-19
GPL26792,Illumina Genome Analyzer IIx (Brugia malayi; Wolbachia endosymbiont strain TRS of Brugia malayi),high-throughput sequencing,Brugia malayi;Wolbachia endosymbiont strain TRS of Brugia malayi,0,12,1,GEO,17-Jun-19
GPL25197,Nanostring nCounter Vantage RNA WNT Pathways Panel (LBL-10251-03),other,Homo sapiens,210,95,1,Michael Edward Seifert,15-Jun-19
GPL26777,Illumina NextSeq 500 (Aspergillus kawachii),high-throughput sequencing,Aspergillus luchuensis,0,12,2,GEO,14-Jun-19
GPL26778,Illumina HiSeq 1500 (Streptococcus pneumoniae D39),high-throughput sequencing,Streptococcus pneumoniae D39,0,8,1,GEO,14-Jun-19
GPL26780,Illumina NovaSeq 6000 (Homo sapiens; Human immunodeficiency virus 1),high-throughput sequencing,Homo sapiens;Human immunodeficiency virus 1,0,1,1,GEO,14-Jun-19
GPL26782,Illumina HiSeq 2000 (Medicago sativa; Solanum tuberosum; Zea mays),high-throughput sequencing,Medicago sativa;Solanum tuberosum;Zea mays,0,2,1,GEO,14-Jun-19
GPL26783,Illumina HiSeq 2000 (Erigeron canadensis),high-throughput sequencing,Erigeron canadensis,0,1,1,GEO,14-Jun-19
GPL26784,Illumina HiSeq 2000 (Erigeron annuus),high-throughput sequencing,Erigeron annuus,0,2,1,GEO,14-Jun-19
GPL26785,Illumina HiSeq 2000 (Solidago canadensis),high-throughput sequencing,Solidago canadensis,0,1,1,GEO,14-Jun-19
GPL26786,Illumina NovaSeq 6000 (Oryctolagus cuniculus),high-throughput sequencing,Oryctolagus cuniculus,0,281,17,GEO,14-Jun-19
GPL26787,Illumina HiSeq 4000 (Panicum virgatum),high-throughput sequencing,Panicum virgatum,0,40,1,GEO,14-Jun-19
GPL25315,Cotton drought-specfic oligo array,spotted oligonucleotide,Gossypium,6912,24,1,Muhammad Bilal Sarwar,13-Jun-19
GPL26775,Illumina HiSeq 4000 (Heterocephalus glaber),high-throughput sequencing,Heterocephalus glaber,0,33,2,GEO,13-Jun-19
GPL26767,Agilent-070158_IRHS_AryANE-Venise,in situ oligonucleotide,Malus domestica,133631,24,1,Sandra Pelletier,12-Jun-19
GPL26768,Agilent-078635_IRHS_Pyrus,in situ oligonucleotide,Pyrus communis,158358,24,1,Sandra Pelletier,12-Jun-19
GPL26769,Nanostring Mouse RWTH Aachen University,other,Mus musculus,67,88,3,Oliver Pabst,12-Jun-19
GPL26771,Illumina HiSeq 4000 (Plasmodium chabaudi chabaudi),high-throughput sequencing,Plasmodium chabaudi chabaudi,0,98,3,GEO,12-Jun-19
GPL26772,Illumina NextSeq 500 (Crithidia fasciculata),high-throughput sequencing,Crithidia fasciculata,0,6,1,GEO,12-Jun-19
GPL26774,Illumina NextSeq 500 (Aedes aegypti; Crithidia fasciculata),high-throughput sequencing,Aedes aegypti;Crithidia fasciculata,0,3,1,GEO,12-Jun-19
GPL25167,Ding Human fat adventitia subset microarray v1.0,spotted DNA/cDNA,Homo sapiens,31741,2,1,Lijun Ding,11-Jun-19
GPL26764,Sebelius2 custom Nanostring probe panel,other,Homo sapiens,250,93,1,Jeffrey Robinson,11-Jun-19
GPL26766,Illumina HiSeq 2500 (Methylacidiphilum sp. RTK17.1),high-throughput sequencing,Methylacidiphilum sp. RTK17.1,0,8,2,GEO,11-Jun-19
GPL26759,Illumina HiSeq 4000 (Bos grunniens),high-throughput sequencing,Bos grunniens,0,24,4,GEO,10-Jun-19
